ward,lat_1,lat_2,lat_3,lat_4
1,14,13,5,0
2,3,3,0,1
3,9,7,3,1
4,2,2,1,0
5,8,8,4,3
6,4,4,0,0
7,3,3,1,0
8,5,5,0,0
9,16,15,2,1
10,16,14,7,5
11,19,19,10,3
12,8,7,1,0
13,11,11,2,0
14,7,7,3,0
15,1,1,0,0
16,5,5,0,0
17,2,2,0,0
18,5,5,1,0
19,1,1,0,0
20,7,6,2,0
21,2,2,0,0
22,5,5,2,0
23,7,7,2,0
24,1,0,1,1
25,11,11,5,0
26,1,1,0,0
27,8,8,2,0
28,5,5,2,0
29,1,1,0,0
30,13,13,5,0
31,8,8,0,0
32,16,15,9,0
33,19,19,7,0
34,5,6,1,1
35,13,13,4,0
36,4,4,0,0
37,3,3,1,0
38,4,4,1,0
39,14,14,6,0
40,10,10,5,0
41,5,5,2,0
42,1,1,0,0
43,12,12,6,1
44,4,4,3,0
45,5,5,5,0
46,5,5,1,0
47,2,2,2,0
48,7,7,2,0
49,32,32,4,0
50,3,3,1,0
